paragraph,familiar_1,understandable_1,word_coherence_1,coherence_1,syntax_compl_1,complexity_1,familiar_2,understandable_2,word_coherence_2,coherence_2,syntax_compl_2,complexity_2,familiar_3,understandable_3,word_coherence_3,coherence_3,syntax_compl_3,complexity_3
"Такой дуализм известен своими проявлениями во многих науках. Так, например, в основе важнейшего вопроса философии о первичности материалистического и идеалистического подходов к теории познания лежит не что иное, как двойственный характер информационного процесса. В обоснованиях обоих подходов нетрудно обнаружить упор либо на объективность данных, либо на субъективность методов. Подход к информации как к объекту особой природы, возникающему в результате диалектического взаимодействия объективных данных с субъективными методами, позволяет во многих случаях снять противоречия, возникающие в философских обоснованиях ряда научных теорий и гипотез.",4,4,2,3,4,4,5,4,3,5,3,3,3,4,4,4,3,3
"Спросим, а что имеется в виду, когда говорят, например, о человеке: его вымышленное или реальное имя, ДНК, социальное положение, внешний вид, образование и другие характеристики? Во множестве уже созданных социальных и семантических сетях эти данные хаотично несовместимы, несопоставимы, дублируются и т.п. То же касается и других видов акторов. Именно поэтому появление новых и новых социальных и семантических сетей приводит к все большим трудностям для пользователя.",4,4,1,4,2,2,5,4,2,4,3,3,3,4,3,4,2,2
"Как и в случае комплексов, END обязателен лишь в самом последнем параграфе. В параграфе методов спецификации компоненты одним или несколькими процессами перечисляются все выполняемые в данном процессе методы, начиная с корневого, с которого по умолчанию будет начинаться модельная жизнь каждого процесса. Имена методов должны быть уникальными в пределах спецификации: нельзя одинаково назвать два разнотипных метода одной компоненты, но использование одного имени в спецификациях разных компонент не возбраняется.",3,3,4,3,3,3,2,3,4,4,5,4,4,4,4,4,3,3
"Чтобы оценить качество классификации, мы провели эксперимент с новостным сайтом Google News, на котором новости классифицируются в несколько широких рубрик, таких как Политика, Бизнес, Наука, Спорт, и т.д. Мы выбрали соответствующие статьи Википедии в качестве рубрик для нашего алгоритма и при рубрикации получили 80% совпадения с рубрикацией Google News. При этом ошибки рубрикации оказались спорными и одинаково хорошо подходили нескольким рубрикам. Например, темы Медицина и Бизнес в Google News очень часто пересекались, так как статьи описывали разработку медикаментов фармацевтическими компаниями.",4,5,3,5,3,2,5,5,5,4,3,2,5,5,5,5,2,1
"Текстовая информация воспринимается человеком лучше, если она визуализирована — организована в виде списков, таблиц, диаграмм,  снабжена иллюстрациями (фотографиями, рисунками, схемами).  Всевозможные перечни в документах оформляются с помощью списков. По способу оформления различают нумерованные и маркированные списки. Нумерованный список принято использовать в тех случаях, когда имеет значение порядок следования пунктов; маркированный — когда порядок следования пунктов в нём не важен. По  структуре различают одноуровневые и многоуровневые списки.",5,5,4,4,3,2,5,5,4,5,3,2,5,5,5,4,2,1
"Каждая из перечисленных выше проблем включает в себя необходимость проведения работ достаточно большого объема. В частности, необходима систематизация данных по наноматериалам и определение областей неполной или отсутствующей информации. Разработка стандартов для документирования накопленных данных необходима для дальнейшего эффективного развития нанотехнологий в Российской Федерации. Также необходимы исследования в области метаонтологии применительно к области нанотехнологий.",3,5,2,3,2,3,3,4,3,4,3,2,4,5,5,5,1,1
"Электрические импульсы, в форме которых информация сохраняется в оперативной памяти, существуют только тогда, когда компьютер включён. После выключения компьютера вся информация, coдержащаяся в оперативной памяти, теряется.  К внутренней памяти компьютера относится также постоянное запоминающее устройтво. В нём хранится информация, необходимая для первоначальной загрузки компьютера в момент включения питания. После выключения компьютера информация в постоянном запоминающем устройстве сохраняется.",5,5,4,5,3,2,4,5,5,5,3,2,5,5,4,5,2,2
"Анализ результатов, представленных в статье, позволяет сделать вывод, что при проектировании наносистем в общем случае необходимо использование моделей всех уровней иерархии. Применение интегрированных маршрутов проектирования наносистем, которые могут поддерживать моделирование на всех уровнях иерархии: с использованием классических, полуклассических и квантомеханических моделей, а также обеспечивать связь между различными уровнями иерархии, имеет наибольшее прикладное значение в наноинженерии.",3,4,3,3,4,4,3,3,2,3,4,4,3,3,4,5,3,3
"Настольные модели распространены наиболее широко. Они являются принадлежностью рабочего места. Эти модели отличаются простотой изменения конфигурации за счет несложного подключения дополнительных внешних приборов или установки дополнительных внутренних компонентов. Достаточные размеры корпуса в настольном исполнении позволяют выполнять большинство подобных работ без привлечения специалистов, а это позволяет настраивать компьютерную систему оптимально для решения именно тех задач, для которых она была приобретена.",5,4,1,4,2,3,5,5,4,5,3,1,5,5,4,5,2,2
"На основе метода наименьших квадратов определяется значение выхода в следующий момент времени. В соответствии с классической теоремой, получаемые таким образом оценки параметров в любой момент времени являются наилучшими в смысле среднеквадратической ошибки. При этом каждая точка глобальной нелинейной поверхности регрессии получается в результате использования линейных ""локальных"" моделей.",5,4,2,3,2,3,3,4,1,2,4,4,3,2,2,3,2,4
"Объектная программа Лексический анализатор в данном случае работает как сопрограмма для программы синтаксического анализатора. Аналогично может работать программа семантического анализа и генератора команд. В современных компиляторах лексический и синтаксический анализаторы – это взаимосвязанные части общего процесса. Возможны два принципиально различных метода организации взаимосвязи лексического и синтаксического анализа – последовательный и параллельный. При последовательном варианте лексический анализатор просматривает весь текст исходной программы от начала до конца и преобразует его в таблицу лексем. Таблица лексем заполняется вся и полностью, компилятор использует ее для последующих фаз компиляции, но не изменяет. Если в процессе работы лексический анализатор не смог правильно определить тип лексемы, считается, что программа содержит ошибку. Получающийся в данном случае компилятор никогда не может быть однопроходным. Последовательная работа лексического и синтаксического анализаторов представляет собой самый простой вариант их взаимодействия. Она проще в реализации и в определенных условиях обеспечивает более высокую скорость работы компилятора, чем параллельное взаимодействие.",4,4,5,5,2,3,5,5,4,5,3,4,4,4,5,5,2,3
"Высокая производительность данных систем достигается за счет снижения избыточности при организации управления, а также за счет эффективной реализации алгоритма в аппаратуре с учетом его естественной степени распараллеливания. Свойство высокой регулярности и масштабируемости обеспечивает быстрое и простое наращивание вычислительной мощности в зависимости от приложения, вплоть до уровня суперкомпьютера. Свойство высокой регулярности определяет относительную простоту и низкую стоимость разработки, а также низкую себестоимость изготовления вычислительной системы. Свойство реконфигурируемости аппаратуры обеспечивает её динамическую адаптацию относительно расширяемого диапазона классов обрабатываемых алгоритмов. В основе парадигмы данной вычислительной архитектуры лежит принцип управления вычислениями потоками данных.",3,3,2,3,3,4,3,4,4,5,3,3,3,3,4,4,2,4
"Важным требованием является превентивная защита модуля от возможных атак. В частности, предполагается использование разнообразных методов обфускации с целью препятствования осуществлению атак. Применение обфускации позволяет существенно усложнить понимание злоумышленником структуры программы и ее функциональностей. Тем не менее, достаточно непростой задачей является оценивание сложности, вносимой конкретным методом обфускации в общую совокупность используемых защитных механизмов.",3,4,3,4,2,2,4,3,4,5,3,4,1,3,5,5,2,3
"Универсальный растровый формат JPEG разработан специально  для эффективного  хранения изображений фотографического  качества. Современные компьютеры обеспечивают воспроизведение более 16 миллионов цветов, большинство из которых человеческим глазом  просто  неразличимы.  Формат  JPEG  позволяет  отбросить  «избыточное» для человеческого восприятия разнообразие цветов соседних пикселей. Часть исходной информации при этом теряется, но это обеспечивает уменьшение  информационного  объёма  (сжатие)  графического файла. Пользователю предоставляется возможность самому  определять степень сжатия файла. Если сохраняемое изображение —  фотография, которую предполагается распечатать на листе большого  формата, то потери информации нежелательны. Если же этот фотоснимок будет размещён на wеЪ-странице, то его можно смело сжимать в десятки раз: оставшейся информации будет достаточно для  воспроизведения изображения на экране монитора.",5,5,2,5,3,2,5,4,4,5,2,2,5,5,4,5,2,1
"Для функционирования сложной распределенной вычислительной системы и входящих в ее состав ресурсных центров требуется качественная система мониторинга, дающая подробную картину функционирования и производительности её элементов, своевременно оповещающая о сбоях и позволяющая проводить комплексный анализ работы системы. В статье рассмотрена информационная модель взаимодействия компонент системы мониторинга и предложена её архитектура, реализующая принципы универсальности и расширяемости. Рассмотрено решение задач, возникших в процессе построения системы мониторинга ЦИВК ОИЯИ на основе открытого программного продукта Nagios.",3,4,2,3,4,3,3,4,3,5,3,3,3,4,4,4,3,3
"Данные — диалектическая составная часть информации. Они представляют собой зарегистрированные сигналы. При этом физический метод регистрации может быть любым: механическое перемещение физических тел, изменение их формы или параметров качества поверхности, изменение электрических, магнитных, оптических характеристик, химического состава и (или) характера химических связей, изменение состояния электронной системы и многое другое. В соответствии с методом регистрации данные могут храниться и транспортироваться на носителях различных видов.",5,5,2,4,3,3,4,4,2,2,5,3,3,4,4,5,2,2
"Уже отлаженные работающие модели и их компоненты могут быть объявлены доступными для всеобщего использования и пополнить фонд доступных в сети моделей и их компонент. При этом автоматически становятся доступными также и описания модели и ее компонент на языке описаний, по которым можно судить о ее адекватности тем или иным способам применения в других моделях. Таким образом, каждая рабочая станция может предоставлять в общее пользование как свой вычислительный потенциал, так и существующие наработки в области моделирования.",3,3,3,3,3,3,3,4,2,3,2,2,5,5,5,5,2,5
"Необходимо отметить, что в настоящее время в литературе отмечаются два варианта термина ""нанотехнологическая информатика"". Часть авторов использует этот термин для исследований в области применения наноразмерных эффектов для построения вычислительных систем на новых принципах. Авторы статьи склоняются к мнению, что для исследований в указанной выше области более корректным является термин ""квантовая информатика"". В дальнейшем изложении авторы ограничивают области нанотехнологической информатики случаем применения классических компьютеров для хранения и обработки информации, полученной в ходе исследований в области нанотехнологий.",3,5,2,4,2,2,3,4,5,5,3,3,3,5,4,5,2,2
"Возвращаясь к обсуждению основного предмета исследования, можно утверждать, что реализация четырехполюсной архитектуры автоматизированного обслуживания системы принятия решений может быть обеспечена на основе унифицированных мобильных порталов. Традиционные порталы, напротив, представленную в архитектуре схему обслуживания не выдерживают. Так, например, группа C выпадает из общей схемы обслуживания, предположительно происходящего на основе традиционных порталов, ибо не обеспечивает сопровождения через интернет метаданных, определяющих функциональность остальных групп. Кроме того, масштаб результирующего автоматизированного обслуживания в оставшейся урезанной трехполюсной архитектуре окажется неполным и будет колебаться в пределах ограничений пресловутого ""масштаба предприятия"", известного также под аббревиатурой ERP (англ. Enterprise Resource Planning System). Этого, безусловно, недостаточно для информационных проектов федерального уровня и, в частности, для такого проекта как, СМЭВ.",3,3,3,4,4,4,3,5,5,5,4,2,3,3,4,4,5,4
"Рассмотрены основные задачи интеллектуального анализа данных, которые необходимо решать в технологии предсказательного моделирования, основными из которых являются задача построения по данным метамоделей, аппроксимирующих исходные неизвестные модели, и оптимизация построенных метамоделей. При создании метамоделей для ИВС на базе вычислительных экспериментов, проведенных с имитационными моделями ИВС, размерность аргумента метамоделей (параметров, описывающих входные данные) может быть высокой. Однако множество входных параметров для реальных сценариев моделирования имеет внутреннюю размерность, существенно меньшую по сравнению с размерностью исходного аргумента, и может быть аппроксимировано многообразием меньшей размерности, покрытое единственной координатной системой и параметризованное параметром меньшей размерности. Если такое аппроксимирующее параметризованное многообразие построено, то исходные задачи построения метамоделей и их оптимизация могут быть заменены соответствующими редуцированными задачами, зависящими от параметров меньшей размерности.",2,3,3,4,5,5,3,2,5,5,4,5,4,3,5,5,5,5
"Группа подготовки данных занимается подготовкой данных, с которыми будут работать программы, созданные прикладными программистами. Во многих случаях сотрудники этой группы сами вводят данные с помощью клавиатуры, но они могут выполнять и преобразование готовых данных из одного вида в другой. Так, например, они могут получать иллюстрации, нарисованные художниками на бумаге, и преобразовывать их в электронный вид с помощью специальных устройств, называемых сканерами.",5,5,4,5,3,2,5,5,4,4,2,2,4,5,4,5,2,1
"В статье описаны алгоритмы построения шрифтов на основе результатов распознавания печатных символов,  используемые в механизме адаптивного распознавания документа. Определяется понятие шрифта, позволяющие построить алгоритмы распознавания шрифтов, с помощью которых производится дальнейшая кластеризация образов символов.  Рассмотрены задачи, в решении которых может использоваться механизм поиска шрифтов: повторная сегментация границ символов, упаковка символов, подбор шрифта для отображения символов на экране.",3,4,5,4,3,2,4,5,5,4,2,2,4,5,5,4,3,2
